time,leftArm_upperArmRotation_x,leftArm_upperArmRotation_y,leftArm_upperArmRotation_z,leftArm_lowerArmRotation_x,leftArm_lowerArmRotation_y,leftArm_lowerArmRotation_z,leftArm_handRotation_x,leftArm_handRotation_y,leftArm_handRotation_z,rightArm_upperArmRotation_x,rightArm_upperArmRotation_y,rightArm_upperArmRotation_z,rightArm_lowerArmRotation_x,rightArm_lowerArmRotation_y,rightArm_lowerArmRotation_z,rightArm_handRotation_x,rightArm_handRotation_y,rightArm_handRotation_z
1.372092,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.376047,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.383301,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.387301,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.395285,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.402116,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.409463,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.416917,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.424313,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.428112,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.434886,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.441969,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.448969,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.455504,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.462015,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.465955,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.472455,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.479527,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.487097,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.491207,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.495148,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.502273,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.509232,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.51566,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.522234,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
